project_id,mode,route_id,direction_id,stop_id_from,stop_id_to,stop_name_from,stop_name_to,from_to,time_minutes,headway_min,frequency
1,trenes,9,0,91,35,Colegiales,Belgrano R,91_35,3,15,4
1,trenes,9,0,35,236,Belgrano R,L. M. Drago,35_236,4,15,4
1,trenes,9,0,236,150,L. M. Drago,Gral. Urquiza,236_150,2,15,4
1,trenes,9,0,150,318,Gral. Urquiza,Pueyrredon,150_318,3,15,4
1,trenes,9,0,318,271,Pueyrredon,Miguelete,318_271,3,15,4
1,trenes,9,0,271,360,Miguelete,San Martín,271_360,3,15,4
1,trenes,9,0,360,353,San Martín,San Andrés,360_353,3,15,4
1,trenes,9,0,353,249,San Andrés,Malaver,353_249,2,15,4
1,trenes,9,0,249,412,Malaver,V. Ballester,249_412,2,15,4
1,trenes,9,0,412,79,V. Ballester,Chilavert,412_79,3,15,4
1,trenes,9,0,79,190,Chilavert,J L Suárez,79_190,3,15,4
1,trenes,9,1,190,79,J L Suárez,Chilavert,190_79,3,15,4
1,trenes,9,1,79,412,Chilavert,V. Ballester,79_412,3,15,4
1,trenes,9,1,412,249,V. Ballester,Malaver,412_249,2,15,4
1,trenes,9,1,249,353,Malaver,San Andrés,249_353,2,15,4
1,trenes,9,1,353,360,San Andrés,San Martín,353_360,3,15,4
1,trenes,9,1,360,271,San Martín,Miguelete,360_271,3,15,4
1,trenes,9,1,271,318,Miguelete,Pueyrredon,271_318,3,15,4
1,trenes,9,1,318,150,Pueyrredon,Gral. Urquiza,318_150,3,15,4
1,trenes,9,1,150,236,Gral. Urquiza,L. M. Drago,150_236,2,15,4
1,trenes,9,1,236,35,L. M. Drago,Belgrano R,236_35,4,15,4
1,trenes,9,1,35,91,Belgrano R,Colegiales,35_91,3,15,4
1,trenes,9,1,91,272,Colegiales,Mtro. Carranza,91_272,3,15,4
1,trenes,9,1,272,1,Mtro. Carranza,3 de Febrero,272_1,2,15,4
1,trenes,9,1,1,332,3 de Febrero,Retiro,1_332,7,15,4
1,trenes,7,0,332,1,Retiro,3 de Febrero,332_1,7,20,3
1,trenes,7,0,1,272,3 de Febrero,Mtro. Carranza,1_272,2,20,3
1,trenes,7,0,272,91,Mtro. Carranza,Colegiales,272_91,3,20,3
1,trenes,7,0,91,35,Colegiales,Belgrano R,91_35,3,20,3
1,trenes,7,0,35,90,Belgrano R,Coghlan,35_90,4,20,3
1,trenes,7,0,90,346,Coghlan,L. M. Saavedra,90_346,3,20,3
1,trenes,7,0,346,200,L. M. Saavedra,J. B. Justo,346_200,3,20,3
1,trenes,7,0,200,141,J. B. Justo,Florida,200_141,2,20,3
1,trenes,7,0,141,119,Florida,Dr. Cetrángolo,141_119,2,20,3
1,trenes,7,0,119,273,Dr. Cetrángolo,B. Mitre,119_273,4,20,3
1,trenes,7,1,273,119,B. Mitre,Dr. Cetrángolo,273_119,4,20,3
1,trenes,7,1,119,141,Dr. Cetrángolo,Florida,119_141,2,20,3
1,trenes,7,1,141,200,Florida,J. B. Justo,141_200,2,20,3
1,trenes,7,1,200,346,J. B. Justo,L. M. Saavedra,200_346,3,20,3
1,trenes,7,1,346,90,L. M. Saavedra,Coghlan,346_90,3,20,3
1,trenes,7,1,90,35,Coghlan,Belgrano R,90_35,4,20,3
1,trenes,7,1,35,91,Belgrano R,Colegiales,35_91,3,20,3
1,trenes,7,1,91,272,Colegiales,Mtro. Carranza,91_272,3,20,3
1,trenes,7,1,272,1,Mtro. Carranza,3 de Febrero,272_1,2,20,3
1,trenes,7,1,1,332,3 de Febrero,Retiro,1_332,7,20,3
1,trenes,35,0,332,1,Retiro,3 de Febrero,332_1,7,30,2
1,trenes,35,0,1,272,3 de Febrero,Mtro. Carranza,1_272,2,30,2
1,trenes,35,0,272,91,Mtro. Carranza,Colegiales,272_91,3,30,2
1,trenes,35,0,91,35,Colegiales,Belgrano R,91_35,3,30,2
1,trenes,35,0,35,236,Belgrano R,L. M. Drago,35_236,4,30,2
1,trenes,35,0,236,150,L. M. Drago,Gral. Urquiza,236_150,2,30,2
1,trenes,35,0,150,318,Gral. Urquiza,Pueyrredon,150_318,3,30,2
1,trenes,35,0,318,271,Pueyrredon,Miguelete,318_271,3,30,2
1,trenes,35,0,271,360,Miguelete,San Martín,271_360,3,30,2
1,trenes,35,0,360,353,San Martín,San Andrés,360_353,3,30,2
1,trenes,35,0,353,249,San Andrés,Malaver,353_249,2,30,2
1,trenes,35,0,249,412,Malaver,V. Ballester,249_412,2,30,2
1,trenes,35,0,412,79,V. Ballester,Chilavert,412_79,3,30,2
1,trenes,35,0,79,190,Chilavert,J L Suárez,79_190,3,30,2
1,trenes,35,0,190,29,J. L. SUAREZ,BANCALARI,190_29,7,30,2
1,trenes,35,0,29,296,BANCALARI,GRAL. PACHECO,29_296,4,30,2
1,trenes,35,0,296,37,GRAL. PACHECO,BENAVIDEZ,296_37,7,30,2
1,trenes,35,0,37,263,BENAVIDEZ,ING. MASCHWITZ,37_263,6,30,2
1,trenes,35,0,263,130,ING. MASCHWITZ,ESCOBAR,263_130,6,30,2
1,trenes,35,0,130,335,ESCOBAR,RIO LUJAN,130_335,9,30,2
1,trenes,35,0,335,294,RIO LUJAN,ING. OTAMENDI,335_294,6,30,2
1,trenes,35,0,294,55,ING. OTAMENDI,CAMPANA,294_55,8,30,2
1,trenes,35,0,55,204,CAMPANA,Kilometro 83,55_204,4,30,2
1,trenes,35,0,204,434,Kilometro 83,ZARATE,204_434,5,30,2
1,trenes,35,1,434,204,ZARATE,Kilometro 83,434_204,5,30,2
1,trenes,35,1,204,55,Kilometro 83,CAMPANA,204_55,4,30,2
1,trenes,35,1,55,294,CAMPANA,ING. OTAMENDI,55_294,8,30,2
1,trenes,35,1,294,335,ING. OTAMENDI,RIO LUJAN,294_335,6,30,2
1,trenes,35,1,335,130,RIO LUJAN,ESCOBAR,335_130,10,30,2
1,trenes,35,1,130,263,ESCOBAR,ING. MASCHWITZ,130_263,6,30,2
1,trenes,35,1,263,37,ING. MASCHWITZ,BENAVIDEZ,263_37,6,30,2
1,trenes,35,1,37,296,BENAVIDEZ,GRAL. PACHECO,37_296,7,30,2
1,trenes,35,1,296,29,GRAL. PACHECO,BANCALARI,296_29,4,30,2
1,trenes,35,1,29,190,BANCALARI,J. L. SUAREZ,29_190,6,30,2
