route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id
1,1,32001211,Once,3200,1,2
1,1,32011111,Moreno,3201,0,1
1,1,32021211,Once,3202,1,2
1,1,32031111,Moreno,3203,0,1
1,1,32041211,Once,3204,1,2
1,1,32051111,Moreno,3205,0,1
1,1,32061211,Once,3206,1,2
1,1,32071111,Moreno,3207,0,1
1,1,32081211,Once,3208,1,2
1,1,32091111,Moreno,3209,0,1
1,1,32101211,Once,3210,1,2
1,1,32111111,Moreno,3211,0,1
1,1,32121211,Once,3212,1,2
1,1,32131111,Moreno,3213,0,1
1,1,32141211,Once,3214,1,2
1,1,32151112,Moreno (RÁPIDO),3215,0,1
1,1,32161211,Once,3216,1,2
1,1,32171111,Moreno,3217,0,1
1,1,32181211,Once,3218,1,2
1,1,32191111,Moreno,3219,0,1
1,1,32201211,Once,3220,1,2
1,1,32211111,Moreno,3221,0,1
1,1,32221211,Once,3222,1,2
1,1,32231112,Moreno (RÁPIDO),3223,0,1
1,1,32241211,Once,3224,1,2
1,1,32251111,Moreno,3225,0,1
1,1,32261211,Once,3226,1,2
1,1,32271111,Moreno,3227,0,1
1,1,32281211,Once,3228,1,2
1,1,32291111,Moreno,3229,0,1
1,1,32301211,Caballito,3230,1,2
1,1,32311112,Moreno (RÁPIDO),3231,0,1
1,1,32321211,Once,3232,1,2
1,1,32331111,Moreno,3233,0,1
1,1,32341211,Once,3234,1,2
1,1,32351111,Moreno,3235,0,1
1,1,32361212,Once (RÁPIDO),3236,1,2
1,1,32371111,Moreno,3237,0,1
1,1,32381211,Once,3238,1,2
1,1,32391111,Moreno,3239,0,1
1,1,32401211,Once,3240,1,2
1,1,32411111,Moreno,3241,0,1
1,1,32421211,Once,3242,1,2
1,1,32431111,Moreno,3243,0,1
1,1,32441211,Once,3244,1,2
1,1,32451111,Moreno,3245,0,1
1,1,32461212,Once (RÁPIDO),3246,1,2
1,1,32471111,Moreno,3247,0,1
1,1,32481211,Once,3248,1,2
1,1,32491111,Moreno,3249,0,1
1,1,32501211,Once,3250,1,2
