stop_id,stop_name,stop_lat,stop_lon
262,Martínez,-34.4885346,-58.4965804
263,Maschwitz,-34.3830219,-58.7362697
264,Matheu,-34.3828607,-58.8296505
265,Máximo Paz,-34.9362878,-58.6205451
267,Medicina,-34.9090514,-57.9278447
268,Mercedes,-34.6574937,-59.4336661
269,Merlo,-34.6644693,-58.7276850
287,Núñez,-34.5482911,-58.4628516
271,Miguelete,-34.5810718,-58.5170793
272,Ministro Carranza,-34.5757050,-58.4354040
273,Mitre,-34.5154718,-58.4896092
275,Monasterio,-35.7637431,-57.9250604
276,Monte,-35.4366533,-58.8176656
277,Monte Grande,-34.8144339,-58.4696989
278,Moreno,-34.6504439,-58.7895979
279,Morón,-34.6482227,-58.6198135
283,Muñiz,-34.5513662,-58.7033147
290,Olivera,-34.6279272,-59.2553985
291,Olivos,-34.5077139,-58.4806636
293,Once,-34.6086496,-58.4088675
294,Otamendi,-34.2222066,-58.8965515
296,Pacheco,-34.4558335,-58.6201168
297,Palermo,-34.5796614,-58.4274154
300,Paso del Rey,-34.6582665,-58.7619414
303,Pereyra,-34.8366304,-58.0945403
304,Periodismo,-34.9122051,-57.9242646
306,Pilar,-34.4687433,-58.9079062
309,Plátanos,-34.7823359,-58.1707596
311,Policlínico,-34.9253053,-57.9213044
332,Retiro LM,-34.5899757,-58.3761290
314,P. Turner,-34.7332318,-58.4748755
347,S. A. de Padua,-34.6654259,-58.6979972
318,Pueyrredón,-34.5804962,-58.5018980
319,Punta Chica,-34.4506585,-58.5236988
348,Sáenz Peña,-34.6031533,-58.5274629
322,Quilmes,-34.7246461,-58.2606591
324,Rafael Calzada,-34.7966735,-58.3591724
310,P. Marín,-34.6227343,-58.8935420
327,Ramos Mejía,-34.6404544,-58.5643758
328,Ranelagh,-34.7893721,-58.2031929
329,Remedios de Escalada,-34.7270922,-58.3936610
333,Ricardo Levene,-35.0216179,-58.7237738
334,Ringuelet,-34.8813876,-57.9960622
335,Rio Lujan,-34.2778567,-58.8903315
337,Rivadavia,-34.5365204,-58.4680326
346,Saavedra,-34.5540735,-58.4870632
353,San Andrés,-34.5635642,-58.5406609
355,San Fernando C,-34.4443381,-58.5587407
356,San Fernando R,-34.4375367,-58.5539910
357,San Isidro C,-34.4722074,-58.5133831
358,San Isidro R,-34.4654466,-58.5081309
359,San Justo,-34.6741934,-58.5553560
360,San Martín,-34.5734195,-58.5319579
3,Abbot,-35.2814201,-58.8029392
5,Acassuso,-34.4800686,-58.5038385
6,Adela,-35.6839055,-57.9539789
8,Adrogué,-34.7978483,-58.3942737
9,Agustín de Elía,-34.7099772,-58.5059186
13,Alejandro Korn,-34.9804097,-58.3738144
14,Alejandro Petión,-34.9775385,-58.6743571
17,Altamirano,-35.3611696,-58.1512081
361,San Miguel,-34.5431069,-58.7150571
12,Aldo Bonzi,-34.7106549,-58.5141386
378,Sol y Verde,-34.5039897,-58.7976033
380,Sourigues,-34.8065811,-58.2127388
383,Tablada,-34.6930707,-58.5280209
386,Temperley,-34.7759243,-58.3963571
389,Tigre,-34.4235670,-58.5817289
392,Tolosa,-34.8909547,-57.9680983
396,Tristán Suárez,-34.8892028,-58.5677383
399,Turdera,-34.7950533,-58.4078781
400,Unión Ferroviaria,-34.8701194,-58.5432637
402,Uribelarrea,-35.1154841,-58.8984676
407,Vicente Casares,-34.9621814,-58.6478470
408,Vicente López,-34.5247233,-58.4728065
409,Victoria,-34.4561533,-58.5411284
411,Villa Astolfi,-34.4786824,-58.8768343
412,Villa Ballester,-34.5501584,-58.5570784
414,Villa Crespo,-34.5933908,-58.4483617
419,Villa Elisa,-34.8495861,-58.0751851
420,Villa España,-34.7744501,-58.1949303
423,Villa Luro,-34.6362494,-58.5021311
428,Virreyes,-34.4506827,-58.5507001
430,Wilde,-34.6975894,-58.3111938
431,William Morris,-34.5784645,-58.6565796
432,Zamudio,-34.8578991,-58.8921946
433,Zapiola,-35.0583029,-59.0418857
435,Zeballos,-34.8106377,-58.2594167
436,Zelaya,-34.3703514,-58.8683114
259,Marinos C. G. Belgrano,-34.7086815,-58.7307061
246,Luis Guillón,-34.8032178,-58.4485504
365,Santa Catalina,-34.7804203,-58.4373374
367,Santa Sofía,-34.8250279,-58.2132652
418,Villa Domínico,-34.6915355,-58.3253499
369,Santos Lugares,-34.6036745,-58.5407521
370,Sarandí,-34.6787475,-58.3449626
381,Speratti,-35.0021051,-58.9998545
385,Tapiales,-34.7025293,-58.5115373
413,Villa Caraza,-34.6980032,-58.4290641
417,Villa Diamante,-34.6817442,-58.4283297
421,Villa Fiorito,-34.7053789,-58.4409217
422,Villa Lugano,-34.6771300,-58.4769699
424,Villa Madero,-34.6840978,-58.4925366
427,Villa Soldati,-34.6622014,-58.4408973
401,Univ. Luján,-34.5774242,-59.0874075
434,Zárate,-34.0979051,-59.0378286
415,Villa del Parque,-34.6013699,-58.4935315
127,El Palomar,-34.6049260,-58.5956555
368,S. y Kosteki,-34.6613896,-58.3768325
48,Buenos Aires,-34.6455629,-58.3939958
