stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
6861127136,,"EDUARDO SIVORI 4602-4694",,-34.524438,-58.527614,,,,,America/Argentina/Buenos_Aires,
6760113585,,"AVENIDA GENERAL JUAN GREGORIO LEMOS 3499-3599",,-34.518166,-58.671194,,,,,America/Argentina/Buenos_Aires,
6427103401,,"ZAPIOLA 3622-3648",,-34.679107,-58.549724,,,,,America/Argentina/Buenos_Aires,
6749108225,,"URUGUAY 5099-5183",,-34.4753,-58.574755,,,,,America/Argentina/Buenos_Aires,
6861132958,,"JUAN ZUFRIATEGUI 3902-4000",,-34.551153,-58.504088,,,,,America/Argentina/Buenos_Aires,
6434127430,,"GENERAL MADARIAGA 452-500",,-34.703482,-58.366976,,,,,America/Argentina/Buenos_Aires,
6490112814,,"AVENIDA HIPÓLITO YRIGOYEN 9600-9698",,-34.767721,-58.404157,,,,,America/Argentina/Buenos_Aires,
6490105672,,"CALLE MOLINA ARROTEA 401-421",,-34.768711,-58.404267,,,,,America/Argentina/Buenos_Aires,
6568113934,,"DOCTOR RODOLFO MONTE 914",,-34.659251,-58.611087,,,,,America/Argentina/Buenos_Aires,
2032613,,"112 CRAMER",,-34.577629,-58.441031,,,,,America/Argentina/Buenos_Aires,
6658110943,,"CAMINO GENERAL BELGRANO 600-648",,-34.734037,-58.325363,,,,,America/Argentina/Buenos_Aires,
202697,,"64 FRAY CAYETANO RODRIGUEZ",,-34.628101,-58.463001,,,,,America/Argentina/Buenos_Aires,
6756116600,,"AVENIDA ANDRÉS ROLON 1201-1299",,-34.472575,-58.537024,,,,,America/Argentina/Buenos_Aires,
6658105000,,"AVENIDA CENTENARIO 3199-3399",,-34.740119,-58.246996,,,,,America/Argentina/Buenos_Aires,
6274128746,,"JOSÉ ENRIQUE RODÓ 2802-2900",,-34.804398,-58.268683,,,,,America/Argentina/Buenos_Aires,
206229,,"377 PERGAMINO",,-34.636721,-58.472542,,,,,America/Argentina/Buenos_Aires,
6658123033,,"AVENIDA LAMADRID 2499-2599",,-34.726036,-58.293841,,,,,America/Argentina/Buenos_Aires,
6434133402,,"TENIENTE CORONEL J. OBON 2394",,-34.67507,-58.429922,,,,,America/Argentina/Buenos_Aires,
6410133929,,"CORONEL JOSÉ MARÍA VILELA 769",,-34.656888,-58.679428,,,,,America/Argentina/Buenos_Aires,
204191,,"1399 RAMOS MEJIA JOSE MARIA DR. AV.",,-34.591252,-58.374047,,,,,America/Argentina/Buenos_Aires,
6805106573,,"AVENIDA JUAN DOMINGO PERÓN 5701-5729",,-34.423473,-58.693969,,,,,America/Argentina/Buenos_Aires,
628132752,,"HIPÓLITO BOUCHARD 2798",,-34.79176,-58.368436,,,,,America/Argentina/Buenos_Aires,
6756118730,,"COLECTORA OESTE ACCESO NORTE",,-34.492811,-58.562794,,,,,America/Argentina/Buenos_Aires,
691109710,,"AVENIDA RIGOLLEAU 1814",,-34.777732,-58.23941,,,,,America/Argentina/Buenos_Aires,
6490133479,,"MANUELA PEDRAZA 3400-3498",,-34.739332,-58.473928,,,,,America/Argentina/Buenos_Aires,
6441124198,,"CAMINO PARQUE CENTENARIO_CALLE 54",,-34.850467,-58.091388,,,,,America/Argentina/Buenos_Aires,
6410127551,,"POSTA DE PARDO 2600-2698",,-34.655142,-58.691882,,,,,America/Argentina/Buenos_Aires,
6638109231,,"ESTANISLAO LOPEZ Y ESTANISLAO ZEBALLOS - BOMBEROS",,-34.457275,-58.92375,,,,,America/Argentina/Buenos_Aires,
206802,,"3383 BUCARELLI",,-34.567101,-58.49566,,,,,America/Argentina/Buenos_Aires,
6568126281,,"DOCTOR RICARDO BALBÍN 200-298",,-34.63582,-58.614773,,,,,America/Argentina/Buenos_Aires,
