shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
A0,-34.6088132176,-58.3708655834,1,0
A0,-34.6085394761,-58.3720564842,2,0.1141
A0,-34.6084798709,-58.372567445,3,0.1621
A0,-34.6084776633,-58.37313205,4,0.2148
A0,-34.6085041545,-58.3735477924,5,0.2537
A0,-34.6086807621,-58.3760154247,6,0.4847
A0,-34.608848539,-58.3783757687,7,0.7056
A0,-34.6090074853,-58.3807253838,8,0.9254
A0,-34.6091840918,-58.3835148811,9,1.1864
A0,-34.6093253768,-58.3851141483,10,1.3362
A0,-34.6093960192,-58.3857223392,11,1.3934
A0,-34.6094313404,-58.386400938,12,1.4568
A0,-34.6094445858,-58.387465775,13,1.5563
A0,-34.6090869582,-58.388890028,14,1.6934
A0,-34.6091840918,-58.3909285069,15,1.8839
A0,-34.6092635646,-58.3929777145,16,2.0753
A0,-34.6093783586,-58.394844532,17,2.2499
A0,-34.6095902855,-58.3975160122,18,2.5001
A0,-34.609775721,-58.4002196789,19,2.7531
A0,-34.6099346655,-58.4029448032,20,3.008
A0,-34.6100340056,-58.4055411816,21,3.2505
A0,-34.6097183244,-58.4066194296,22,3.3554
A0,-34.6094909448,-58.4074670076,23,3.4373
A0,-34.6094197506,-58.407683596,24,3.4586
A0,-34.6094412744,-58.4079484642,25,3.4834
A0,-34.6095770401,-58.408408463,26,3.5282
A0,-34.6098927218,-58.409229219,27,3.6103
A0,-34.6101774967,-58.4102806449,28,3.712
A0,-34.6103496857,-58.4115439653,29,3.831
A0,-34.610638874,-58.4130969644,30,3.9785
A0,-34.610720553,-58.4144675732,31,4.1067
A0,-34.6107845716,-58.414966464,32,4.1536
A0,-34.6108817032,-58.4158220887,33,4.234
A0,-34.6109037785,-58.4164685011,34,4.2944
A0,-34.6109148162,-58.4169667214,35,4.3409
A0,-34.6109241982,-58.4171135724,36,4.3547
A0,-34.6109374434,-58.4173133969,37,4.3734
A0,-34.6109528961,-58.4174850583,38,4.3895
A0,-34.6109600706,-58.417590335,39,4.3993
A0,-34.6109815941,-58.4178699553,40,4.4255
A0,-34.6110036694,-58.4181663394,41,4.4532
A0,-34.6110119476,-58.4182984382,42,4.4656
A0,-34.6110279522,-58.4184975922,43,4.4842
A0,-34.6110555463,-58.4188429266,44,4.5166
A0,-34.6110765179,-58.4191010892,45,4.5408
A0,-34.6111008007,-58.4193900973,46,4.5678
A0,-34.6111267391,-58.4197186679,47,4.5986
A0,-34.6111532295,-58.4198340029,48,4.6097
A0,-34.6111830311,-58.4199587256,49,4.6216
A0,-34.6112260778,-58.4201525152,50,4.6402
A0,-34.6112740915,-58.4203590453,51,4.66
A0,-34.6113303834,-58.4206111729,52,4.6841
A0,-34.6113496992,-58.4206916392,53,4.6918
A0,-34.6114076466,-58.4208619595,54,4.7086
A0,-34.6114468301,-58.4209772944,55,4.72
A0,-34.6114672496,-58.4210389853,56,4.726
A0,-34.6115235414,-58.4212052822,57,4.7424
A0,-34.6115919744,-58.4213548154,58,4.7578
A0,-34.6116769637,-58.4215398878,59,4.7768
A0,-34.611756986,-58.4217142314,60,4.7947
A0,-34.6118276263,-58.4218664467,61,4.8104
A0,-34.611896611,-58.4220179915,62,4.8259
A0,-34.6119495911,-58.4221353382,63,4.8379
A0,-34.6120246463,-58.4222996235,64,4.8548
A0,-34.6120798339,-58.4224169701,65,4.8669
A0,-34.6122034539,-58.4226737916,66,4.8935
A0,-34.6122994801,-58.4228776395,67,4.9145
A0,-34.6123993693,-58.4230841696,68,4.936
A0,-34.6125825911,-58.4234704077,69,4.9759
A0,-34.6127194553,-58.4237855673,70,5.0079
A0,-34.6129004689,-58.4242120385,71,5.0512
A0,-34.6130196728,-58.4244936705,72,5.0797
A0,-34.6131289429,-58.4247578681,73,5.1064
A0,-34.6132514576,-58.4250448644,74,5.1356
A0,-34.6133805946,-58.4253439307,75,5.166
A0,-34.6135119389,-58.4256483614,76,5.1969
A0,-34.61366315,-58.4259916842,77,5.232
A0,-34.613773523,-58.4262424707,78,5.2575
A0,-34.6138739622,-58.4264664352,79,5.2804
A0,-34.6139898536,-58.4267252684,80,5.3069
A0,-34.6141465825,-58.4270806611,81,5.3432
A0,-34.6142955851,-58.4274172783,82,5.3775
A0,-34.6144158907,-58.4276868403,83,5.4051
A0,-34.6146752645,-58.4282782674,84,5.4654
A0,-34.6149313264,-58.4288562834,85,5.5244
A0,-34.6151035055,-58.4292478859,86,5.5644
A0,-34.6153330771,-58.4297628701,87,5.617
A0,-34.6154544849,-58.4300324321,88,5.6446
A0,-34.6155792037,-58.4303288162,89,5.6746
A0,-34.6156928852,-58.4305970371,90,5.7018
A0,-34.6158562331,-58.4310020506,91,5.7426
A0,-34.6161376764,-58.4316310287,92,5.8069
A0,-34.6164312594,-58.4322398901,93,5.87
A0,-34.6166519978,-58.4326770902,94,5.9157
A0,-34.6167623668,-58.4329238534,95,5.941
A0,-34.6169058462,-58.4332591295,96,5.975
A0,-34.6172060486,-58.4339511395,97,6.0454
A0,-34.6174179555,-58.4344983101,98,6.1002
A0,-34.6175857147,-58.434895277,99,6.1404
A0,-34.6183273831,-58.4364402294,100,6.3004
A0,-34.618808581,-58.4376364946,101,6.4208
A0,-34.6190469717,-58.4381246567,102,6.4715
A0,-34.6197709686,-58.4397661686,103,6.639
A0,-34.6205435193,-58.4414827824,104,6.8148
A0,-34.6211306531,-58.4428936243,105,6.9574
A0,-34.6214396692,-58.4437251091,106,7.0402
A0,-34.6219694084,-58.4447604418,107,7.1488
A0,-34.6223667105,-58.4456884861,108,7.243
A0,-34.6241059888,-58.4500980377,109,7.6856
A0,-34.6256510024,-58.4540945292,110,8.0856
A0,-34.6266927667,-58.4567512572,111,8.352
A0,-34.6271253599,-58.4578201175,112,8.4596
A0,-34.6275667793,-58.4588809311,113,8.5669
A0,-34.6279226719,-58.4597270004,114,8.6526
A0,-34.62819028,-58.4604550526,115,8.725
A0,-34.628413746,-58.4611026384,116,8.789
A0,-34.6285930701,-58.4617073089,117,8.8478
A0,-34.6289664768,-58.4632180212,118,8.9931
A0,-34.6291191772,-58.4637309518,119,9.0431
A0,-34.6296717653,-58.4654971026,120,9.2158
A0,-34.629761702,-58.4659073129,121,9.2551
A0,-34.6302017279,-58.4677136969,122,9.4286
A0,-34.6306594075,-58.4694020636,123,9.5919
A0,-34.6311090843,-58.4711453319,124,9.76
A1,-34.6311090843,-58.4711453319,1,0
A1,-34.6306594075,-58.4694020636,2,0.1681
A1,-34.6302017279,-58.4677136969,3,0.3314
A1,-34.629761702,-58.4659073129,4,0.5049
A1,-34.6296717653,-58.4654971026,5,0.5442
A1,-34.6291191772,-58.4637309518,6,0.7169
A1,-34.6289664768,-58.4632180212,7,0.7669
A1,-34.6285930701,-58.4617073089,8,0.9122
A1,-34.628413746,-58.4611026384,9,0.971
A1,-34.62819028,-58.4604550526,10,1.035
A1,-34.6279226719,-58.4597270004,11,1.1074
A1,-34.6275667793,-58.4588809311,12,1.1931
A1,-34.6271253599,-58.4578201175,13,1.3004
A1,-34.6266927667,-58.4567512572,14,1.408
A1,-34.6256510024,-58.4540945292,15,1.6744
A1,-34.6241059888,-58.4500980377,16,2.0744
A1,-34.6223667105,-58.4456884861,17,2.517
A1,-34.6219694084,-58.4447604418,18,2.6112
A1,-34.6214396692,-58.4437251091,19,2.7198
A1,-34.6211306531,-58.4428936243,20,2.8026
A1,-34.6205435193,-58.4414827824,21,2.9452
A1,-34.6197709686,-58.4397661686,22,3.121
A1,-34.6190469717,-58.4381246567,23,3.2885
A1,-34.618808581,-58.4376364946,24,3.3392
A1,-34.6183273831,-58.4364402294,25,3.4596
A1,-34.6175857147,-58.434895277,26,3.6196
A1,-34.6174179555,-58.4344983101,27,3.6598
A1,-34.6172060486,-58.4339511395,28,3.7146
A1,-34.6169058462,-58.4332591295,29,3.785
A1,-34.6167623668,-58.4329238534,30,3.819
A1,-34.6166519978,-58.4326770902,31,3.8443
A1,-34.6164312594,-58.4322398901,32,3.89
A1,-34.6161376764,-58.4316310287,33,3.9531
A1,-34.6158562331,-58.4310020506,34,4.0174
A1,-34.6156928852,-58.4305970371,35,4.0582
A1,-34.6155792037,-58.4303288162,36,4.0854
A1,-34.6154544849,-58.4300324321,37,4.1154
A1,-34.6153330771,-58.4297628701,38,4.143
A1,-34.6151035055,-58.4292478859,39,4.1956
A1,-34.6149313264,-58.4288562834,40,4.2356
A1,-34.6146752645,-58.4282782674,41,4.2946
A1,-34.6144158907,-58.4276868403,42,4.3549
A1,-34.6142955851,-58.4274172783,43,4.3825
A1,-34.6141465825,-58.4270806611,44,4.4168
A1,-34.6139898536,-58.4267252684,45,4.4531
A1,-34.6138739622,-58.4264664352,46,4.4796
A1,-34.613773523,-58.4262424707,47,4.5025
A1,-34.61366315,-58.4259916842,48,4.528
A1,-34.6135119389,-58.4256483614,49,4.5631
A1,-34.6133805946,-58.4253439307,50,4.594
A1,-34.6132514576,-58.4250448644,51,4.6244
A1,-34.6131289429,-58.4247578681,52,4.6536
A1,-34.6130196728,-58.4244936705,53,4.6803
A1,-34.6129004689,-58.4242120385,54,4.7088
A1,-34.6127194553,-58.4237855673,55,4.7521
A1,-34.6125825911,-58.4234704077,56,4.7841
A1,-34.6123993693,-58.4230841696,57,4.824
A1,-34.6122994801,-58.4228776395,58,4.8455
A1,-34.6122034539,-58.4226737916,59,4.8665
A1,-34.6120798339,-58.4224169701,60,4.8931
A1,-34.6120246463,-58.4222996235,61,4.9052
A1,-34.6119495911,-58.4221353382,62,4.9221
A1,-34.611896611,-58.4220179915,63,4.9341
A1,-34.6118276263,-58.4218664467,64,4.9496
A1,-34.611756986,-58.4217142314,65,4.9653
A1,-34.6116769637,-58.4215398878,66,4.9832
A1,-34.6115919744,-58.4213548154,67,5.0022
A1,-34.6115235414,-58.4212052822,68,5.0176
A1,-34.6114672496,-58.4210389853,69,5.034
A1,-34.6114468301,-58.4209772944,70,5.04
A1,-34.6114076466,-58.4208619595,71,5.0514
A1,-34.6113496992,-58.4206916392,72,5.0682
A1,-34.6113303834,-58.4206111729,73,5.0759
A1,-34.6112740915,-58.4203590453,74,5.1
A1,-34.6112260778,-58.4201525152,75,5.1198
A1,-34.6111830311,-58.4199587256,76,5.1384
A1,-34.6111532295,-58.4198340029,77,5.1503
A1,-34.6111267391,-58.4197186679,78,5.1614
A1,-34.6111008007,-58.4193900973,79,5.1922
A1,-34.6110765179,-58.4191010892,80,5.2192
A1,-34.6110555463,-58.4188429266,81,5.2434
A1,-34.6110279522,-58.4184975922,82,5.2758
A1,-34.6110119476,-58.4182984382,83,5.2944
A1,-34.6110036694,-58.4181663394,84,5.3068
A1,-34.6109815941,-58.4178699553,85,5.3345
A1,-34.6109600706,-58.417590335,86,5.3607
A1,-34.6109528961,-58.4174850583,87,5.3705
A1,-34.6109374434,-58.4173133969,88,5.3866
A1,-34.6109241982,-58.4171135724,89,5.4053
A1,-34.6109148162,-58.4169667214,90,5.4191
A1,-34.6109037785,-58.4164685011,91,5.4656
A1,-34.6108817032,-58.4158220887,92,5.526
A1,-34.6107845716,-58.414966464,93,5.6064
A1,-34.610720553,-58.4144675732,94,5.6533
A1,-34.610638874,-58.4130969644,95,5.7815
A1,-34.6103496857,-58.4115439653,96,5.929
A1,-34.6101774967,-58.4102806449,97,6.048
A1,-34.6098927218,-58.409229219,98,6.1497
A1,-34.6095770401,-58.408408463,99,6.2318
A1,-34.6094412744,-58.4079484642,100,6.2766
A1,-34.6094197506,-58.407683596,101,6.3014
A1,-34.6094909448,-58.4074670076,102,6.3227
A1,-34.6097183244,-58.4066194296,103,6.4046
A1,-34.6100340056,-58.4055411816,104,6.5095
A1,-34.6099346655,-58.4029448032,105,6.752
A1,-34.609775721,-58.4002196789,106,7.0069
A1,-34.6095902855,-58.3975160122,107,7.2599
A1,-34.6093783586,-58.394844532,108,7.5101
A1,-34.6092635646,-58.3929777145,109,7.6847
A1,-34.6091840918,-58.3909285069,110,7.8761
A1,-34.6090869582,-58.388890028,111,8.0666
A1,-34.6094445858,-58.387465775,112,8.2037
A1,-34.6094313404,-58.386400938,113,8.3032
A1,-34.6093960192,-58.3857223392,114,8.3666
A1,-34.6093253768,-58.3851141483,115,8.4238
